,PC_18_2__0_0,PC_18_0__18_3__PC_16_0__20_3__PC_18_1__18_2
PI595714,196.4134,193.76062
PI656026,176.85342,53.827576
PI597958,50.80784,845.65344
PI564163,239.3121,281.35284
PI659692,152.24902,212.49527
PI534037,199.53311,1511.011
PI534054,144.46837,125.416824
PI656068,213.17227,9081.921
PI576422,67.543175,1680.8715
PI655989,79.64464,16442.62
PIX20230621_JGI_RRA_508500_Sorgh_final.SetB_EXP120B_C18.LipidV7_USDAY63675_POS_MS2_272_Check_10_Rg132to1500.CE102040.FLO22.S1_Run495.mzML.Peak.area,337.56955,555.8033
PI576375,68.84096,559.42596
PI597965,50.84288,2414.6191
PIX20230621_JGI_RRA_508500_Sorgh_final.SetB_EXP120B_C18.LipidV7_USDAY63675_POS_MS2_280_Check_11_Rg132to1500.CE102040.FLO22.S1_Run509.mzML.Peak.area,74.84294,599.88586
PI656112,111.74298,1767.9766
PI629034,261.93814,4472.716
PI641836,111.73888,2033.7758
PI35038,40325.77,4259.7603
PI534079,189.02866,1342.7343
PI656024,57.562016,1036.7205
PIX20230621_JGI_RRA_508500_Sorgh_final.SetB_EXP120B_C18.LipidV7_USDAY63675_POS_MS2_406_Check_16_Rg132to1500.CE102040.FLO22.S1_Run758.mzML.Peak.area,352.42676,2276.235
PI561073,128.00558,42991.848
PI656018,963.92645,2849.8416
PI656029,97.30725,5784.6035
PI656028,209.03513,4513.7993
PI534133,187.9372,5440.484
PI655978,198.3773,2017.555
PI656027,119.26337,3986.1929
PI533863,133.65239,4467.145
PI656115,110.45563,9642.643
PI534163,975.55786,1412.2305
PI534046,140.91376,2150.571
PI655982,110.92314,4603.029
PI533924,44.776184,1982.4243
PI534063,181.8375,3878.9011
PI533845,214.156,2219.5476
PI533821,135.29065,282.51672
PI655985,269.37708,2787.095
PI656117,879.1291,2866.076
PI17548,185.40472,4102.6465
PI533937,170.67766,1761.1963
PI651496,466.9311,33041.59
PI564164,9243.499,1839.3203
PI540816,183.5391,4216.9204
PI656062,102.824356,3026.7031
PI655995,45293.59,7763.728
PI576376,149.51607,2871.271
PI533948,86.250565,14208.293
PI534096,362.77667,5430.7793
PI534047,78.016495,1309.1936
PI656071,258.25806,11784.518
PI534070,84.80981,1753.2786
PI656074,334.52777,6341.023
PI576337,1166.7969,4816.1216
